describe_discussion_employer,describe_discussion_coworker,describe_coworker_discussion_coworker,describe_discussion_previous_employer,describe_discussion_previous_coworker,describe_previous_coworker_discussion_coworker,PH_during_interview_why,MH_during_interview_why,describe_negative_reaction,describe_industry_AOI,other_comments
Describing states of stress and situations that trigger those states,,Discussing past burn-out experiences of coworkers and how these reflect on interactions,,,,Depending of the impact in my roles,,,,
,,,,,,,,,,
I told my boss that I was really having a hard time with all the stress and he told me to calm down because we aren't saving lives.,We have talked about each of our struggles with mental health. It was a really great conversation,They told me about their struggles with mental health and I was able to listen and encourage them.,The conversation I described in (current employer section) was actually supposed to be here. It was about my previous employer.,I told them I had issues and they did not say much.,,I dont want to give them a reason not to hire me,I dont want to give them a reason not to hire me,There was no support for my issues,Just talk to each other,na
,,,,,,Depends what it is and how it might impact my work,Depends what it is and how it might impact my work,,"More open discussion, more time flexibility, less hectic work schedules",Thank you for doing this
,,,,"This was talking about anxiety with a good friend, and he was supportive.",,It depends on if I'm worried that it would affect job performance.,It depends on if I think it would affect job performance.,,Make it clear that there are options available.,
,,,,,,Only if it would interfere with my ability to perform my job in any way.,I'd want to know ahead of time if my employer would support mental health wellness.,,"Talk about potential mental health stressors typical of tech work, have options for evaluation and coverage made clear early in a new role.",
,,,,,,It's is more acceptable,It would be seen as a red flag and prevent me from being hired,,,
"I've had several discussions about incredibly traumatic tragedy that struck my family. I was offered support, to include time off.",I've had co-workers ask me about my mental health after a very tragic event. They were supportive.,,,,,Too risky,Too risky. Not their businesses ,,,
"When the company was small, it was easy, and they dealt with it well. Now that there is middle management, they don't handle it well at all.

Recently talked about taking a handful of days ""off"" because my depression was coming back. Manager threatened to put me on a performance improvement plan. Manager has implied more than once the mental illness doesn't exist.","Let them know about my depression, anxiety, and adhd. Almost all have been supportive.",They described their ADHD and gave me tips.,,,,Depends on the issue. If it needs accommodations.,Too likely for there to be a stigma,New manager responded to me needing a few days off by trying to put me on a performance improvement plan after months of excellent reviews,Industry thinks that the brain is something that a person can control.,
,We commiserated about similar afflictions. ,We commiserated about similar afflictions. ,,,,It's not their business. ,It's not their business. ,They treated the situation as though the person was an outsider. ,Openness about options and financial support. ,N/a
,,,,,,,,,,
,,,"Depression/anxiety (related to diagnosed ADD) was exacerbated by a major physical injury caused some attendance issues with one employer. The conversation was not well received, or responded to. The general feeling was ""try harder""/""you're not trying hard enough"". ","Discussions with friends I made at work--maybe that's assumed in the question, but it wasn't just any coworker, or on any level a ""professional"" conversation. They were receptive to discussing and sharing our experiences positively. ","Have worked with several people with social difficulty (no idea of specific diagnoses). Their social ability and behavior was brought up occasionally. Sometimes negatively, but it was also discussed positively at least as often. 'Positively' meaning conversations about how to include communicate with, relate to the person in question. Admittedly, this could be an indulgence in ""friendly"" gossip, but it disparaging comments or reactions were not common.","The physical health issue could affect my ability to perform assigned tasks. I'm aware mental health issues can have the same or greater influence, but I do feel less comfortable discussing that with a potential employer. Primarily because of the existing stigma, but also in part because it's been my experience (so far) that physical limitations/injuries are more recoverable and short-term, where mental health issues are more ""permanent"". ","I'm aware mental health issues can have the same or greater influence, but I do feel less comfortable discussing that with a potential employer. Primarily because of the existing stigma, but also in part because it's been my experience (so far) that physical limitations/injuries are more recoverable and short-term, where mental health issues are more ""permanent"". ","Depression/anxiety (related to diagnosed ADD) was exacerbated by a major physical injury caused some attendance issues with one employer. The conversation was not well received, or responded to. The general feeling was ""try harder""/""you're not trying hard enough"". ","On an individual/peer level, I think there's some awareness that a lot of us have ""social"" issues that are sometimes related to mental health disorders/issues. It seems like that would give people in our industry at least a step up in handling the conversation. My experience seems to reflect that. On a more institutional level, I'm not sure of a best course that would fit all. In my personal experience, efforts toward supportive conversation and connection to relevant resources were lacking from management, so that's a good place to start. ","Thanks for doing this, I really appreciate that there's an effort like this being made. "
,"It was a few days before World Mental Health Day, and we had just come out of a panel at a conference about mental health. I disclosed my recent diagnosis, and my manager teared up a bit. And offered to help however she could. We had a discussion about what our company could do to make sure I felt supported/was supported. It was a very positive conversation. My disorder was not disclosed to anyone else at the company.",,,,,Because I believe a potential employer probably doesn't care about me until I've decided or are working for that employer.,Because I believe a potential employer probably doesn't care about me until I've decided or are working for that employer.,"I mentioned to my team at lunch that it was World Mental Health Day and that the focus is mental health at work. The CEO of my company responded with ""That's depressing"" and changed the topic to movies.","Prevent burnout. Seriously reprimand or give negative reputations to companies that allow burnout and have burnout as part of the culture. Burnout as part of company culture looks like working longer than 8 hours a day; having PagerDuty go off in the middle of the night for someone who isn't on-call; not allowing employees to unplug during vacation. Ways to prevent burnout: Allow employees to unplug when not working (nights, weekend).

Never let it get to the point that an employee commits suicide due to working conditions.",I love all that you do.
I have casually mentioned that I have OCD. There was no real discussion surrounding this.,I've told some of the people I am closest to at work about my mental health. They are people I consider friends and they have been supportive.,,,,,I suppose it just depends on how personal the health issue feels.,"I would not bring it up for fear of making someone uncomfortable and, as a result, not getting a job.",,,
,,,,,,,,,,
"discussed with my manager that one of my directs seemed to be struggling with mental health, they had me make a breakdown of 1. our mental health benefits and 2. covered providers within walking distance of our office and distribute it to our entire team (to make them not feel singled out) but then i was able to follow up with them in our next one on one",very open about my anxiety and having good boundaries,"struggles with anxiety, struggles with ptsd, work related stress side effects",i asked for days off to deal with anxiety and ptsd. the first time it always seemed fine but by the second time the response would usually chill.,"I'm just very open about my mental health, and i try to discuss it openly to make others feel at ease if they want to talk about theirs.","Several have confided in me, but many more have talked about other coworkers mental health (sometimes coming from a point of concern, but often coming from a point of gossip)",I wouldn't want it to potentially hold me back.,I wouldn't want it to be used as an excuse to not hire me.,"Mocking people for suffering from ptsd, disbelief of symptoms, telling people to ""get over it""","many companies have a culture of output with little to no compassion for the mental health of their employees, which is ironic because our mental facilities are the only tool we have to create output","I'd be curious in the future if there are some mental health issues that are perceived as MORE acceptable than others--I feel fine saying I have an anxiety disorder, but I never talk about my PTSD. I also know a developer who never discusses their borderline personality disorder bc of stigmas attached to it."
,,,,,,Fear of it affecting my possibility to get hired,,,Less emphasis on long hours,
,,"He gave a talk about mental health issues in tech, referencing himself. ALso some private conversations",,,,None of their business.,None of their business. Also potentially harmful to hiring prospects.,,,
,A few weeks ago I had to take a personal day because I was feeling overly anxious and in a depressed state. I told my supervisor I needed to take the day off to rest and to sort through some mental health struggles and he empathized with me and told me he had also struggled with some mental health issues himself. He helped me to get caught up on what I missed during the day that I was out.,A coworker mentioned she was thinking of going to a therapist soon to sort through some worries and things she was feeling anxious about. I encouraged her and just told her my experiences in therapy.,"I actually worked for a family owned company, so I discussed my mental health with my uncle, who was my boss, as well as my coworker who was my supervisor. Sometimes I'd need to flex my time to see my therapist, and that was understood. Although, when missing work and saying I'd need a personal day, it was questioned and not taken at face value.","My colleague at my previous job was also going to regularly see her therapist, so we would talk about our issues, worries, things we were working through in therapy. It was and still is a good friendship we have.",,"If it is applicable to the job, then I'd feel the need to bring it up to make sure I was taken care of in the way I'd need to be. For instance if I was allergic to something or epileptic. ","I think I would bring up mental wellness, but maybe not necessarily go deep into my personal mental health.",,"Educating team members to understand how and why people act when they are affected by a mental health issue. And to let them know their capabilities for caring for themselves and what will be supported. (i.e. working from home, taking leave, flexing time, etc.)","In my previous job, getting questioned for the reason for taking personal days was a big thing. As well as the ability to work from home. I think these things are really important, especially for those working in tech jobs, to feel that they are trusted by their employer and that they are supported by their employer. I think it comes down to healthy and effective communication, check ins and removing ambiguity around what is or isn't allowed."
,,,,,,Discrimination,Discrimination,,"Better coverage, allow remote work no questions asked. ",
,,,,,,"Only if I needed immediate accommodations.  
I feel that bringing up any sort of negative about myself in an interview makes me less attractive to a prospective employer.",I feel it would be detrimental to my prospects of getting hired.,,"More benefits, more acceptance.  ",
"I mentioned a major, debilitating panic attack I had at work one day, and they expressed sympathy, though nothing else was done.","I've had a number of discussions, both verbally and on our company mental-health slack channel.  There's been a lot of empathy and support.","Coworkers have discussed anxiety and panic attacks with me, among other issues like imposter syndrome and so on.  We generally discuss how much it affects us and what we do to mitigate such things.",,,,Such issues should be accounted for and accommodated when working for a company.,,,,
,,,,,,Might hurt chances is employment,Would likely hurt chance of employment,,Just bringing it up ever,
,,,,,"It's been a while, so I don't remember many details, but a discussion of sleep evolved into a discussion of their history of depression and other disorders and issues.",Depends on the issue and the receptiveness of the employer.,Same as physical health issue. I would have to gauge the employer and weigh it against the issue.,,"Be a bit more active in their support. I think most places would work something out, bit nothing is prepared in advance.",
,,,,,,"They can't use it against me legally, so they don't need to know.",Legally they don't need to know to hire me.,,Not sure,no
,I mentioned that I have struggled with depression. My female coworker was sympathetic and my male coworker (who is pretty quiet in the first place) did not reply.,,,,,I have severe allergies and require weekly treatments that are easiest to get during the work day.,"My mental health is not currently impacting my daily life, but if it were I am not sure I would mention this in an interview. Mental health is not widely accepted as a valid reason for missing or adjusting ones work schedule.",A supervisor of another team spoke of a former coworker (at another company) who may have had a mental health issue and said supervisor was very disparaging about the incident and the coworker.,"Mental health is not widely acknowledged as an issue worthy of accommodation without documentation. One cannot have a mental health day as easily as one may have a sick day for a cold, etc.",
,,They think they can't achieve the output due to the lack of confidence and communication skill.,,,,I think it may divert the interview,It may divert the interview,,Weekly counseling. Motivational speech. Family get together with office colleagues.,
,,,,,Discussed addiction,I would bring it up only if I thought it would have an impact on the job duties I was interviewing for.,"I feel like mental health problems might be an automatic ""no thanks"" or at least throw up red flags when compared to other candidates.",,"I think raising awareness and showing employers that mental health issues are REAL, but also showing examples of successful employees who have mental health issues.",
,,,,,,It could potentially change the way I work or what I might need to be successful in my work.,It would change the needs I have to be successful at work.,,More open communication about it.,
,,"They reported to me and talked about some issues they had with depression and how they were dealing with it (poorly, it turned out).",I described being frustrated about projects and things that were going on around me and asked for help.,,Person was trying to cope with recent deaths in their family.,It depends if it's relevant to the position,My issues shouldn't affect my ability to do the job and it would likely be a negative mark against me.,,Talk about it more. Emphasize mental health the same as physical health (we get checked for tobacco use & have an onsite clinic - nothing similar or even a meditation room onsite),
,,,,,,Don’t want to be judged by it ,Don’t want to be judged by it,,"Awareness, sick days ok for mental health ",Thanks 
,"just sharing about issues, reactions were supportive","not a direct topic of conversation, but it comes up on occasion",,,,I don't have any physical health issues that would be relevant to discuss during a job interview,I don't think it's appropriate conversation at that time,,Improve visibility,"Mental health is an important topic, but it gets ignored for the most part. Something needs to be done but I don't know how to get there"
I am required to report about undergoing therapy or use of psychoactive drugs as a result of my clearance. It was seen as no big deal.,"I have given lightning talks about various diagnoses and I have talked in general about how my challenges affect me. They were generally surprised at the level to which I can be affected by them, and seemed more willing to be accepting of my behavior.",Because I am open about my issues I have had coworkers ask me for advice or just want to open up about their own challenges.,,I talked about my challenges with my supervisor and how they were affecting my work. He seemed understanding and told me I needed to take care of myself.,,Unconscious bias could affect their decisions about me - I wouldn't bring it up unless it was pertinent to the job or environment.,"Even though I wouldn't say my challenges interfere with my work, they result in idiosyncratic behavior that many people perceive as a lack of professionalism or lack of skill.",,TALK ABOUT IT. Learn to talk about mental health and about how we feel and how we experience the world.,
,"Have talked about medications for depression, treatment and counselling for anxiety, conversations are peer-to-peer and have been accepting and helpful","Co-worker was dealing with depression, got resources to help via HR. Co-worker dealing with anxiety, standing offer of a hug when they need it.",,,,Would bring up things like vision or hearing that would need accomodations to be made,None of their business to know.,,"Mention it as a thing that exists without blame or shame. Publicize the resources available, like employee assistance plans. ",
,,Have a slack channel where people can discuss mental health,,,,Never discuss anything medical in interviews,Never discuss anything health related in interviews,,,
,,,,,,I don't want to give them reasons not to hire me,,,,
,,,,,,If it wouldn't affect my job performance it wouldn't e relevant.,,"Mocking, criticism, and complaints about that person",Try to remove the stigms around discussing such things and seeking help.,
,,,,,,Its not the main criteria in the hiring process ,Not the main issue in the hiring process ,,Its talked about and not shamed,
,,,,,,I likely wouldn't if it wouldn't unduly affect my performance,"a) stigma
b) if it would affect my ability to perform, that would be like saying, ""Well, I might not be able to do this job, but please hire me anyway...""",,Be supportive,"Man of the survey questions mentioned ""mental health disorder"" even though I said I've never been diagnosed, which means I can't technically answer about ""mental health disorders."" Many of my answers would be related to ""mental health issues."""
,,,,,"I was a team leader who supervised three employees. I had a individual who was extremely stressed in the job she was doing. We discussed the stress points and ways to remove that stress. I redistributed work loads and put processes in place to help. I encouraged the individual to take personal time during the day to center herself, allowed her to leave early, and encouraged her to come talk to me in the future.",Depends on the physical issue. If I believed the employer may not hire me because of that issue I would not bring it up.,I believe employers will not hire me because of mental health issues so I would not bring it up.,,"My belief based on managerial observations is that the tech industry involves intensive thinking, so anyone you has mental health issues in one area of their life are unfit in other areas (i.e. employment).",No.
,,,,,The coworker mentioned what their mental health situation was - depression - and what to look out for.  They also talked about what we can do to be supportive.,My physical health issue doesn't impact my work .  And my work doesn't trigger my physical issues.,Not during an interview phase ,"I've seen coworkers dismissive of mental health disorders, claiming people were ""making them up to get out of doing their job"".","As I see it being talked about at conferences, I think the more we can educate others about mental health issues and how to be supportive, the better and more supportive we can be.",.
I've made it known that I suffer from depression and anxiety. There are other issues I have not gone into.,I've described my likely autism to select coworkers.,,,,,I tend to be pretty open.,"Stigma, for the most part. Having a bad back is one thing. Being ""unbalanced"" is something else entirely.",,,
,,Co-worker described major depression and the steps they went through the begin treatment.,,,,Concern about being denied the role.,Concern about being denied the role.,,De-stigmatize mental health concerns,
,,Talked about how social anxiety makes retrospectives and 360s hard,,,,I am deathly allergic to fried potatoes. If they are doing food over an interview they need to know,Stigma,Co worker had  depression and needed time off. Was let go. ,Stop focusing on Rockstars and making it impossible to take time off,No
They were understanding and shared that they too had a similar mental health issue.,,They mentioned the mental health problems they were dealing with.,,,,I feel like most tech employers would understand and accommodate that.,"Thanks to my anxiety, I'd be incredibly nervous that they wouldn't understand or would perceive me as a lesser candidate. 

It's a catch-22 though - I wouldn't want to work somewhere that isn't sensative to mental health, but I'd be too afraid to ask during the interview and might end up working there.",,Be more educated that mental health issues are common and do not make a person less capable of being productive contributors to the company's success.  Be flexible and understanding when employees need accommodations to maintain good mental health.,
,Largely consisted of being told people with depression should man the hell up.,,,,,,,,,
,Panic disorder came up in conversation. Neutral response.,,,,,Depends how relevant it is,Depends how relevant it is,,Encourage mental health first aid training in additional to physical first aid,
"Discussed med issues, ADHD. Response was positive.","Shared challenges, med info and issues, commiserated.","Shared challenges, related to me, shared differences.",Challenges and how it was affecting my work.,"Challenges, med info.","Challenges, med info, commiserated.","Full disclosure, work accommodations.","Full disclosure, work accommodations, but would be concerned about their reaction as they're new to me.",,"Openness, resources, concessions, flexibility when mental health issues affect work.",
,,,,,,ww,ww,,,
talked about burn out and results of that. ,,,,,,because none of the phyiscal things wrong with me dont affect my work,just not the time,,openness could be better.,
,,,Skipping this since you aren't recording data rn,La la la,Blah,Lala,Off! ,,,
I informed my employer that I was very sick due to anxiety.  I was told not to let that interfere with my job.  I suffered stigma Andreas isolated and pushed to the side,I do have a supportive group of coworkers to talk to who support mental health. But not everyone u derstands or knows what to say ,I have a coworker who lives with bipolar disease.  Theylet me know when they are not having a good day.  They know it is ok with me,,,,I don’t see it as relevant,Not relevant ,"I saw people who were on “stress” leave ridiculed, or talked about as thought they were it feeling the truth, or just wanted time off","Since the industry is male dominated, there should be more talk to increase awareness and reduce stigma.  Offering peer support programs and role models would also help make the discussion ok",
,,,,,,because why not,because i am at least 51% sure it would affect my chances of getting the job,,"it's a comfort thing at this point imo, needs to be talked about so it doesn't feel weird to bring up issues",
,,"We had a coworker have a drastic turn in behavior over the course of two weeks. He was going through a potential divorce and the stress became unbearable. We had two concerns. First, what could we do to ensure he got the help he needed, and second, what did we have to do at the office to mitigate the reputational and other damage caused by him having a dramatic episode in the office. We did those things, he did get help, and took about a month leave of absence. Of course, we've seen issues ranging from work-related stress to difficult family circumstances, but nothing, in our minds, that rose to the level of intervention as was the case with the first employee.",,,,I wouldn't bring it up unless it would potentially impact my ability to do the work or if I required special accommodations.,Mainly because I don't suffer from a mental health issue. I don't think I would bring it up if I did because I would believe it would be viewed negatively relative to their willingness to hire me.,,"If it is mentioned at all, it's during a meeting to go over benefits. The same was true with welness programs at all of my employers. It could be greatly improved by socializing the availability of benefits and resources throughout the year--especially around holidays when lots of folks struggle.","I thinka lot of people ""grin and bear it"". I've followed what OSMH has been doing with interest because it seems so obvious and so right. It also occurs to me that the stigma will take a generation to work through. It's going to be a long road to get from starting a conversation at work to acceptance."
,,,,,,,,,,
"""Hey, I have a lot of anxiety sometimes.""  ""Oh.  I know that feeling.  I had to go to the doctor years ago about it.  I'm better off now, but it sucked for a while.""",,,"""Hey, this is a lot of pressure you're putting on me.""  ""Pressure makes diamonds!""  This is a literal quote.",,,,"They should know what I need and expect.  If they can't meet it, it's not a good fit.",,,
,,Co-worker suffers from depression; spoke about how it skews their perception and affects them at times.,,,,I like to be open and honest.  ,"Again, I like to be open and honest.",,"Be aware that mental health issues exist, but that they do not necessarily define a person as a whole.  It is part of who they are, at least for a time.  Unlike ethnicity, race, skin color, etc, it may change in time.",No
,,,,,,,,,,
,,,It went fine. The person I talked to (one of the directors) was very supportive.,,,,I would be too afraid,,,
"I told him how having people around in the open space often makes crying the only thing I am capable of when I come home. He answered that if I were working in the central office it would be much worse, I should happy to have a big salary and not ask any further to have a calm working environment.",,,,,,I mentioned my seasonal allergies during the interview. I declined to answer when asked about why I was in the cancer department. Simply said the results were negative (they actually were but things appearing under your skin are *frightening*),"In the collective mind ""mental health issue""=""crazy freak who is just about to jump on me and rip my throat open with his teeth""",,"They should show that normal people (engineers, accountants, secretaries, not executive) have mental health problem, are receiving non-invasive help and are functioning or getting better. But I would not accept to be the one to be shown. Isn't it ironic?","Never jail people in psy-hospitals against their will. I would have killed myself have I not found about Rosenhan's experiment. But now I am not certain I will ever get ""help""."
,,Overview,,,,Excluded,Excluded,Criticism,Talk about it,
"Too long ago, don’t remember ","I asked first how they felt about mental health issues to gauge them. Then we talked about my issue, and his daughters. ",My boss (whom I previously disclosed an episode of depression with) asked me about medication side effects. ,,,,I have worked at the top of my field for two decades with my hidden physical disability. They don’t need to know. ,Judgement ,,"Model it, talk about it. ",
,,,,We mostly talked about how my anxiety/depression affected me and my work.,,"It is normal/ordinary to talk about physical health issues, so, no problem here.","Mental health issues are some kind of stigma, discussing it can close doors. I wanna fight for that, but currently I would not bring this to the table during a interview.",,"We need a safe space to discuss it, we cannot be afraid of openly talk about. We are only allowed to talk about mental health to psychologists and psychiatrists, even discussing it with family is not as open as it should be.",
,,,,,,I have currently & in the past been comfortable working around a chronic illness. I want to know that the flexibility I need is available.,I do not have a mental health issue.,,Stop encouraging 'crunch' mentality & incentivising extreme overtime & neglect of vacation time.,
,,A colleague openly said he was diagnosed with severe depression. There was no actual conversation about the disorder itself though. ,,,,"Physical health issues have no real effect on the work as a software developer, so I would not be scared that it'd affect their judgement. ","I'd be scared to be treated differently. Either that they'd think I am not able to deal with the work, or that they'd prefer me over other more suitable candidates. ",,"Make sure that talking openly about it has no negative effect on the work, applications and the likes. ",I want to thank you wholeheartedly for the work you have been doing and hope that your work will help many people all over the work. Thank you! 
,,One coworker talked about her history with panic attacks,,,,It seems normal and i don't think there would be some consequences,I don't think people generally understand mental disorders and a bit of shame,,,
,"It was a discussion somewhat in passing. A brief mention of anxiety, but no details byond that regarding severity or how it affects me.",,,,,If it's not relevant to my work I would not bring it up.,I'd be concerned about not getting the job.,A past employer was upset I was disorganized and forgetting things. I explained my ADHD and that I need help. I was told it was 100% up to me to manage my work.,"Discuss issues more openly. Allow for more modified work environments (work from home, etc.)",
,,,,,,Only if I needed some accommodation or if it would hamper me from achieving performance expectations.,Only if I needed some accommodation or if it would hamper me from achieving performance expectations.,,"It seems to me, after 28-years in the IT field, that there is a much more open and honest dialogue about mental issues, perhaps due to the predilection of many with anxiety, mild functional autism, or Asperger's to gravitate to the field.

In other fields, these types of mental disorders are typically seen as weaknesses.  In many cases, people in other fields, through TV/sitcoms movies, etc., have been exposed to the higher incidence rates for certain issues in the tech industry, but mainly as a source of humor.  The tech industry should show that some of these issues can actually be pulled on as a source of strength, both as the direct result of the issue (say, hyper-focus perhaps) or through the strength of character that is cultivated in learning to overcome these issues/challenges.  ","For classification purposes - I am a mid-40's male, with diagnosed anxiety and ADD.   I have done extensive research which leads me to strongly suspect that I am in the high-functioning end of the Asperger's spectrum.  Being high-functioning, I have progressed professionally into a management position for both technical and non-technical areas or responsibility.  I also have been happily married for nearly 25-years and have raised two successful normal children that work and contribute to society."
,,,,,,Physical health issues are commonly discussed openly and not stigmatized.,"Because I don't see how disclosing it could possibly help my likelihood of being hired, but so long as I'm being treated properly for it, it shouldn't affect my work.",,"Discuss mental health as frequently and openly as physical health, and explicitly call out things like ""taking a mental health day"" as a perfectly valid and encouraged reason for using sick time.",
,,,,,,Becouse I think the employer is going discard me,Becouse I'll be reject,,,
,,,"It was an admission on my part of serious depression, only after it had become completely obvious and badly affected my work.",,,,,,,
,,,,,,,It would depend on my level of trust with the organization and how progressive they are in caring for their staff.,,Provide mental health days and wellness programs. Remove any lingering stigma around mental health by having influencers be open about their struggles.,
,,,Needing to leave a job due to mental health situations.,feeling of anxiety or depression related to current office state or deadlines,,"It typically feels that although it is illegal to do so, bringing up such situations in an interview would lead to not being hired","It typically feels that although it is illegal to do so, bringing up such situations in an interview would lead to not being hired",,in office therapists?,
,,,,,,,,,,
,,General discussions about depression,,,"Discussions about depression, suicidal thoughts, stress related issues.","If it impacted job performance and was relevant to the position I was applying for, I would want to discuss it prior to being hired. ","I don't have a diagnosed mental health disorder, and frankly, I feel like it would have a negative impact on my likelihood of being hired. There are a lot of legal protections in place if you are categorized as physically or mentally disabled, but  not much to cover un-diagnosed or less severe mental health issues. ",There is not really any sort of support for mental health issues at my place of employment. There is a phone number you can call if you want to talk to a third party help line and that is about it. I see people here that are clearly suffering but the prevalent attitude is that you should just suck it up and keep plodding along.,I think the biggest step would be to recognize that demanding long hours and constantly high levels of performance from people is not sustainable. I also think more could be done to be supportive to people experiencing issues and more education in the tech industry on the significance of mental health issues would be great. ,
,,,,,,"Depending on the issue, I might not bring it up if it wasn't obvious and I was concerned that it would affect their decision to hire me.",I'd be worried it would affect their hiring decision.,,Talk about it more openly during new hire onboarding and annual benefits selection — some signs to be aware of and resources available.,No
,,,,,,,,,,
,,,,,,This may leads to lose that job here in my country abundant employees available so I will be easily replaced by someone.,Same as explained for physical health issue.,,Conduct some family events occasionally.,
,,,,,,,,,,
,,,,,,I feel I would receive accommodation and understanding,"I feel I would not receive accommodations and acceptance or even get the job at all, because of the coldness of corporate America.",,"I think they could provide more support with helping guide employees with mental health issues toward blending in with the rest of the workforce instead of treating us like we are crippled or inferior to those who don't identify as having these issues, and generally provide more support and guidance as well as not discriminating in their hiring practices at the start. ",
Anger outbursts in office that kept me ending up in HR meetings. Also complaining about conspiracy things I thought were actually happening and causing me paranoia. I mentioned to was going to get help. Have not discussed this further with them since ; was 2 years ago last incident,,,,,,Stigma still exists I am afraid. Physical health is accepted but mental health issues are not. I also believe mental health issues are a higher risk to a company ; can't walk you can accommodate predictably but with mental health this is rarely ever the case; at least with me. ,Why would they hire someone already showing they will be challenging to manage and work with. Why should they have to....,,I dont hear much about this either way tbh so really can't comment effectively,Not at this time
,,,,,,Having a physical issue will mostly be noticeable. There’s no way to hide it.,I feel like this could be a detriment when being compared to another candidate. Disclosing a mental issue may mark me as being needy or high maintenance. ,,Open 1 on 1 communication with employees. Better benefits disclosure.,
,,,,,,It's affecting my productivity at work, It'd affect my performance at work.,,,
Discussed depression and anxiety. Was given access to a councilor and given time off.,,,,,,,,,,
,,,,,,,,,,
,,,,,,,It would be the kiss of death,,They do poorly the field is wide open for improvement,
,Talked about depression in a light manner.  Response was supportive yet hands off,,,,,Subconscious discrimination,Same,,,
,,,Some were accepting and others were unsure how to act or what to say,Some were understanding ,,,,I was told to take medical leave for mental health issues ,Be more open. Actually care. ,This is great 
,,,,,,"Hard to know how the potential employer would view you, may effect their decision","I believe it is still stigmatised, even if it is subconciuosly ",,Tech industry seems to offer a lot of benefits such as health plans as incentives to join however the type of work involved is demanding which may have a negative affect on mental halth ,
,,,,,,,,,,
,,,,,,it depends on whether the question would come up and how I feel about the person asking,"it would not work for getting the job, unless I was told they have some kind of policy for that",,instead of pushing people to their limit that should focus on reasonable goals and timetables to reach them,
,,,,,,The employer will make allowances. Physical health doesn't impact productivity much,"Mental health very much impacts productivity. If an employer thinks you won't be as productive, they'll just fire you.",,Better support for mental health care providers. If insurance paid for ongoing mental health care more consistently.,"Employers will never hurt their bottom line intentionally. Mental health care is an expense, and employers will never foot that expense without government coercion."
,,,,,,,Too much social stigma and misconceptions related to mental health in general.,,EDUCATION,
,,,"I have been suffering from severe anxiety for a year. I told them and their reaction was good and comprehensive. They are trying to help me letting me to make myself whatever I consider necessary to me, in order to I do not leave the company.",It's hard to me writing this kind of stuff. All of this still causes me a lot of damage. It's hard...,"Anxiety and depression issues. We work in a stressful startup-environment with so many hard work hours, responsability and tons of infinite work. Unsastainable work because lack of technical team / resources",,"If I now leave my current job, I could be able to not afford applying to any interview. My body (my brain) asks me to stop. To take a sabbatical time. Get away from the industry for a while to invest to myself. From all this year I've been without interest for continuous improvement. I'm burn out",,"I consider myself lucky in my current job position. I co-founded the project, I have been there from the beginning. The company is still small and I am essential yet. The relationship I have with my co-workers is really close. The human side of all of us is strong. All these things make it possible to be understanding with my personal situation. If I were in another more ""traditional company"" is possible that they are less compassionate with me.
","Not being emotionally prepared to work for a day, or a week, or a undefined-time... this industry still does not conceive it. This kind of ""disease"" is very subtle. Mental health is in its infancy, there is still everything to be done
"
,,,,,,,,,,
,,,,,,Its obvious,Makes me seem less reliable,,Its not often talked about even though most developers show symptoms,
"I've been able to take mental health days for both myself, and to support my partner. Manager has responded positively.","I've openly spoken to coworkers about my own mental health issues, and they've been supportive.",I've done my best to support coworkers with their own mental health issues.,,,,Physical health is not relevant to the interview.,Mental health is not relevant to the interview.,,Reduce competitive pressure with coworkers. Encourage cooperation.,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,I would be more interested in his skills than physical health.,I am comfortable with that.,,,
,,,,,,,,,,
"it wasn't about my own. it was about my sister's. and it went fine, he was very supportive of my working remotely such that I could help her.",,no.,,,no,No.,No.,No.,No.,No.
,,Discussed medication used to control anxiety,Discussed issues with anxiety that were having serious affects on my work performance.  They were supportive.,"We discussed ways in which I was affected by my anxiety, my treatment, and how it affected me.",She was having issues in crowded locations causing anxiety attacks.,I would bring up the issue only if it would materially affect my performance on the job,"I would bring it up only if it related to the job.  I have had instances where serving people with mental illness was part of the job, and having personal experience was seen as a positive.",,Pay for treatment.  Offer in-workplace counceling,
,just said that I'm seeing a therapist,,,,"they shared what was going on with their lives and things impacting them, such as eating disorders, add, etc.",it doesn't impede on my job function,it may affect my productivity,,awareness. access to resources and education on the subject. in house therapy. ,
It was just a casual conversation about some of my issues. Nothing formal.,Same as above. It came up as an organic part of a conversation,I don't recall specifics. ,,,,Depends on the issue and the reason for bringing it up.,Depends on the issue and reason for bringing it up,,,
,,,,,,If my issue falls inline with a special accommodations need.,A mental health issue would cause me to not get the job for being seen as someone who lacks mental stability.,,,
,Discussed the drain that certain requests from management had on mental health. Coworker agreed and had similar concerns.,I don't recall specifics.,,,,"If the issue does not affect job performance, then it is irrelevant to the conversation.","It is something that could be brought up during conversation, if certain questions that I asked of the interviewer prompted responses that might be in conflict with mental health issues I was experiencing. The same goes if any statements the interviewer made might be in conflict.",,Reign in overtime and better handle project timelines. I feel most tech workers are way overworked and there's always pressure to get more things done in less time.,
